ID,project,class,method,merge commit,Confluence Inter,OA Inter,left right DFP-Inter,right left DFP-Inter,left right PDG,right left PDG,Original Sample,Léuson,Roberto,DeSouza,LOI,Locally Observable Interference Description,Lines in the merge commit with changes made by left,Lines in the merge commit with changes made by right,Summary of changes made by left,Summary of changes made by right,Result Analyses,OR Result,Confluence Inter Result,OA Inter Result,DF Inter Result,PDG Result
12,storm,org.apache.storm.kafka.spout.KafkaSpout,emitTupleIfNotEmitted(ConsumerRecord<K;V>),bd1f5c54752f67b484a83c26667331234234d3a3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Leuson,x,,,Yes,"report = with isScheduled and isReady =  false;
msgId = new KafkaSpoutMessageId(record);
retryService.isScheduled(msgId) = false
retryService.isReady(msgId) = true
AssertTrue(emiteTupleIfNotEmited(record); true)
when retryService.remove(msg) //launch exception
",[305; 306; 307; 312],[316; 319],Left performs a refactoring extracting a variable of an IF statement; it also changes another IF condition.,Right updates the method signature changing its return type for boolean and adds return statements.,TRUE,TRUE POSITIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,TRUE POSITIVE
13,swagger-maven-plugin,com.github.kongchen.swagger.docgen.reader.AbstractReader,hasValidAnnotations(List<Annotation>),e825a7fdc6ef688f1253b93d2cb236e710acfc56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Guilherme,x,,,-,Left and Right change the same array (right adds the same elements that left does; and also a new entry). A test case will reveal the interference by calling the method hasValidations twice. Each call with a parameter with only the contributions of one parent. One assertion should expect true based on the entry did by Left; and another expecting False based on the addition by Right. A test case to detect this conflict can be found here.,[342; 343],[342],Left adds items to the returned list used to define the return of method  hasValidAnnotations,Right also adds items to the returned list used to define the return of method  hasValidAnnotations,FALSE,TRUE NEGATIVE,,,,
14,jsoup,org.jsoup.helper.HttpConnection,execute(Connection.Request; Response),a8b6982de98ff76ef254031d7152fff57f6bf941,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,x,x,,Yes,"The parent changes are related; while Right changes a parameter; Left changes a local variable. In the Base commit; the parameter req is changed (req.method(Method.GET); req.data().clear()); the method execute will be called again; but with parameters that makes the first if FALSE (res.hasHeader(LOCATION) && req.followRedirects()). In the Right commit; the if statement status != HTTP_TEMP_REDIR will be FALSE; and no change will be done in req; the method execute will be called again; but with parameters that makes the first if FALSE (res.hasHeader(LOCATION) && req.followRedirects()). In the Merge commit; the if statement status != HTTP_TEMP_REDIR will be FALSE; and no change will be done in req; (res.hasHeader(LOCATION) && req.followRedirects()); the method execute will be called again; but with parameters that makes the first if FALSE (res.hasHeader(LOCATION) && req.followRedirects()). The if statement res.hasHeaderWithValue(CONTENT_ENCODING; ""gzip"") would be FALSE; and then the bodyStream used in res will not be GZIPInputStream. Not possible to set specific values for responses; used to generate the headers.
",[584; 585; 586],[544; 547],Left changes the value assigned to the local variable bodyStream; and also removes the local variable dataStream. The object bodyStream uses the object conn; that is created based on req (changed by Right).,Right adds a new verification before calling some methods of the parameter req.,FALSE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE
15,jsoup,org.jsoup.helper.HttpConnection,createConnection(Connection.Request),fee4762322f85a1109edd75ccb67f38cf5008c80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Guilherme,x,,,No,There is no locally observable interference as contributions different fields of the same object; with no dependency between the fields in the analyzed method,[609; 610; 611; 612; 613; 614],[617],Left adds a IF statement; allowing extra set fields of the object returned by the method,Rights changes a IF condition; setting more fields of the object returned by the method and accepting more values than before,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
16,jsoup,org.jsoup.helper.HttpConnection,execute(Connection.Request; Response),3f7d2c71dbbbb289c684f339874eed8ac2747fa0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Roberto,x,x,,Yes,"The semantic conflict is caused by the control flow; so based on the changes; different excpetions ca be thrown during the execution. A test case to reveal this problem would be motivated by the next example. Assertion () Entry: 1. status == HttpURLConnection.HTTP_SEE_OTHER. 2. !contentType.startsWith(""application/xml"") == FALSE; !xmlContentTypeRxp.matcher(contentType).matches() == FALSE. In this way; in the base commit; the Exception HttpStatusException would be thrown; and the test would fail. In the left commit; the exception UnsupportedMimeTypeException would be thrown; and the test would pass. Finally; in the merge commit; the no exception would be thrown; and the test would fail.",[456],[483; 484; 485],Left adds a new condition (OR) that is reponsible for changing the value of the local variable needsRedirect.,Right updates another if statement conditions; it changes a set of conditions grouped with AND; to the OR operator. This if is responsible for throw a new exception.,TRUE,TRUE POSITIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,TRUE POSITIVE
17,jsoup,org.jsoup.nodes.TextNode,outerHtmlHead(StringBuilder; int; Document.OutputSettings),a44e18aa3c1fcd25a68a5965f9490d8f7d026509,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Roberto,x,x,,Yes,The changes can be conflicting as the left contributions changes the conditional that updates the value of HTML variable; while right changes the value of accum. In the end; both changes are grouped in the parameter accum. So a test case to detect this conflict should have the following entries and assertions. In the base commit; the first if statement will be FALSE by sending a node that makes the preserveWhiteSpace be FALSE; and no change is performed in the local variable html. The second if will be FALSE as all conditions will be FALSE; so no change is performed in the parameter accum. In the Right commit; the first if statement will be FALSE by sending a node that makes the preserveWhiteSpace be FALSE. So no change is performed in local variable html. In the second if; it will be TRUE as (out.forceAllElementAsBlock() && siblingNodes().size()>0 && !isBlank()) will be TRUE. So the attribute accum will be changed. In the Merge commit; the first if statement will be TRUE by sending a node that makes the preserveWhiteSpace be TRUE. So the changes are performed in the local variable html. In the second if; it will be TRUE as (out.forceAllElementAsBlock() && siblingNodes().size()>0 && !isBlank()) will be TRUE. So the attribute accum will be changed. A test case to detect this conflict can be found here.,[94],[98],Left changes the condition of an if statement; which calls the method preserveWhitespace. Now the method only performs its verifications if the node is not null and is an instance of Element type; otherwise; no action is performed and the value of local variable html is not updated.,Right adds a new condition (OR) in an if statement; which may change the value of the parameter accum.,TRUE,TRUE POSITIVE,FALSE NEGATIVE,FALSE NEGATIVE,TRUE POSITIVE,TRUE POSITIVE
18,retrofit,retrofit.RestAdapter,logAndReplaceResponse(String; Response; long),2b6c719c6645f8e48dca6d0047c752069d321bc4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,No,Although Left has made a significant change; it is still a refactoring; as the same string is passed as a parameter in the log.log() method call.,[438],[415],Deleted a loop with many calls to log and changed to one with arguments different from the previous call; which simply writes to the log output.,Change the log parameter; adding a toString() on header attribute (header.toString()).,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
19,retrofit,retrofit.RestAdapter,logAndReplaceRequest(Request),2b6c719c6645f8e48dca6d0047c752069d321bc4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,Yes,The changes are in methods that determine the logs; both interfere in the output. A test case can be made by creating an assert to check the output produced by comparing the string produced by the left and right log; will be different.,[398],[369],Deleted a loop with many calls to log and changed to one with arguments different from the previous call; which simply writes to the log output.,Change the log parameter; adding a toString() on header attribute (header.toString()).,FALSE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE
20,retrofit,retrofit.RequestBuilder,build(),71f622ce51031b152a0be6ad5facfb27a654bf5a,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Roberto,x,x,,Yes,The changes are conflicting as they change the same local variable used to create the returned object. A test case to detect this conflict can be found here.,[88],[96; 97; 100; 95],"Left changed the argument of a method call and chained it with another call. Semantically; it inserts ""?"" in the middle of a string stored in the url variable.",Right adds an if statement that surrounds an assignment (which comes from base) to the url variable.,TRUE,TRUE POSITIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,TRUE POSITIVE
21,activiti,org.activiti.engine.impl.persistence.entity.DeploymentEntityManager,deleteDeployment(String; boolean),50d8e43eb5917c63abfbcdec1e68e510943f325a,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Roberto,x,x,,Yes,The new routine will be only executed in case an if condition is satisfied; this condition requires the use of nrOfProcessDefinitionsWithSameKey; that was changed by Left. In the Base commit; the if statement !p.getId().equals(processDefinition) would be FALSE; so the variable nrOfProcessDefinitionsWithSameKey would not be incremented; and the if (nrOfVersions - nrOfProcessDefinitionsWithSameKey <= 1) would be also FALSE. In the Left commit; the if !p.getId().equals(processDefinition.getId()) would be TRUE; and the variable nrOfProcessDefinitionsWithSameKey would be incremented; and the if if (nrOfVersions - nrOfProcessDefinitionsWithSameKey <= 1) would be TRUE. In the Merge commit; the if !p.getId().equals(processDefinition.getId()) would be TRUE; and the variable nrOfProcessDefinitionsWithSameKey would be incremented; and the if if (nrOfVersions - nrOfProcessDefinitionsWithSameKey <= 1) would be TRUE; and the new routine would be executed (lines 114-117). The problem here is to detect this behavior change as the changed variable are local (neither parameters nor class attributes).,[107],[114; 115; 116; 117],Left changes a if condition; that is reponsible for changing the value of the local variable nrOfProcessDefinitionsWithSameKey (incrementation),Right adds a new IF statement; in case the condition is TRUE; it calls new mtethod using the objects of the local list timerStartJobs.,TRUE,TRUE POSITIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,TRUE POSITIVE
22,activiti,org.activiti.engine.impl.bpmn.behavior.UserTaskActivityBehavior,execute(ActivityExecution),bf46684ba62f5883673ea8fb0a14aecfe0aedea2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Roberto,x,x,,Yes,By following the changes made by the two developers by getStack > threadLocal.set > this.createMap; we have that the two developers interfere by changing the threadLocals attribute of the Thread class,[112; 113; 114; 115; 116; 117; 110; 111],[118; 125; 126; 127],Left adds a new IF statement; which may set the field formKey of the local variable formKey; or throws an exception.,Right adds a new IF statement; which may call static external methods without using their returns.,TRUE,TRUE POSITIVE,TRUE POSITIVE,TRUE POSITIVE,TRUE POSITIVE,TRUE POSITIVE
23,okhttp,com.squareup.okhttp.internal.bytes.GzipSource,consumeHeader(Deadline),1151c9853ccc3c9c3211c613b9b845b925f8c6a6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Roberto,x,x,,No,There is no locally observable interference as both contributions are refactorings.,[112],[138],Left does a refactoring by renaming the method getByte on OkBuffer class.,Right does a refactoring by extracting the local method seek to OkBuffers class.,TRUE,FALSE POSITIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,FALSE POSITIVE
24,okhttp,com.squareup.okhttp.OkHttpClient,copyWithDefaults(),35166168529bd27281685e56a0a122eff44460e9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,No,There is no locally observable interference as Left and right change the object that will be returned by the method; but different attributes.,[277; 293],[287],Left changed the object returned by the method using the current object of the class and ass a new value to the field transports.,Right changes the value assigned to result.hostnameverifier adding now an object OkHostnameVerifier.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
25,HikariCP,com.zaxxer.hikari.HikariConfig,validate(),1bca94af9ec625f21d1b58ff10efb5be71ab87a6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,x,x,,Yes,There is a locally observable interference as both contributions write on local variable logger.,[577; 578; 579; 580; 581; 582],[],Left adds a new IF statement; which may write in logger calling method info,Right removes source code; which would write in logger calling method error or wanr; or even trhows an exception. Changes on formating,FALSE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE
26,HikariCP,com.zaxxer.hikari.HikariPool,addConnection(),1bca94af9ec625f21d1b58ff10efb5be71ab87a6,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Mining,x,,,Yes,There is a locally observable interference as the first IF of the WHILE could break its loop. On Base commit; no break would occur; on Left commit; it could break considering the addition of a new verification on the IF; and on Merge commit; no break considering Right changes the value assigned to retries. The assertion should explore the number of elements added on the field idleConnectionBag.,[356; 372; 374; 365],[339; 340; 341; 342; 343; 344; 345; 362; 346; 348],Left adds a new verification an an IF condition; does a refactoring for an old IF; and also adds a call for a local method.,Rights changes the assigment to local variable retries; adds some new IF statements; and sets the field loginTimeout on datasource.,TRUE,TRUE POSITIVE,FALSE NEGATIVE,FALSE NEGATIVE,TRUE POSITIVE,TRUE POSITIVE
27,pushy,com.relayrides.pushy.apns.PushManager,handleConnectionFailure(ApnsConnection<T>; Throwable),58901c846e4f0874977c5aabbc34bcb4de3670e0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mining,x,,,No,There is no locally observable interference because the right developer performed an refactoring. .,[481; 482; 483; 484; 485; 476; 478],[490],Left added a local variable called pushManager and created a for loop to iterate over a list of FailedConnectionListener.,"The right developer performed an ""extract method;"" which is a structural refactoring for the method startNewConnection(). ",FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
28,pushy,com.relayrides.pushy.apns.PushManager,handleConnectionClosure(ApnsConnection<T>),58901c846e4f0874977c5aabbc34bcb4de3670e0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Guilherme,x,,,No,There is no locally observable interference as Right changes are only refactorings; and only Left changes might impact behavior,[520; 510],[515; 500; 502; 503],Left replaces “new Thread” with “listenerExecutor”,"Right does a refactoring by “extracting"" two local methods.",FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
29,java-faker,com.github.javafaker.Faker,Faker(Locale; Random),ca42fcfaf45cae1754c58e02e1d5d2a58ec03561,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Guilherme,x,,,No,There is no locally observable interference as the contributions change different fields.,[69; 59],[70],Left adds an initialization of two fields on constructor.,Right changes the initialization of a different field.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
30,swagger-core,io.swagger.jaxrs2.OperationParser,getSchemaFromAnnotation(io.swagger.oas.annotations.media.Schema),e7fea7c4889dbdd6a4e0b2d059c8aa0f126ab1c2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Guilherme,x,,,No,There is no locally observable interference as Right changes are refactorings; and only Left changes modify the program behavior.,[240; 241; 234; 235; 236; 237; 238; 239],[244; 187; 188],Left adds two IF statements; which may set some fields on object schemaObject.,Right renames three methods _enum() to allowableValues(); and _default() to defaultValue,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
31,cucumber-jvm,cuke4duke.internal.java.JavaLanguage,load(String),4505c156b6267c1b760deec570ddbfe047b42aa9,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Roberto,x,x,,No,There is no locally observable interference as the Right changes do not represent a bahvior change.,[38; 40],[36],Left adds a new IF statement; which may restrict the new addition of the local variable clazz on the field objectFactory.,Right changes generics allowing any type for the local variable clazz.,TRUE,FALSE POSITIVE,TRUE NEGATIVE,TRUE NEGATIVE,FALSE POSITIVE,FALSE POSITIVE
32,dropwizard,io.dropwizard.setup.Bootstrap,Bootstrap(Application<T>),ddd15a681bf42360337844412cae4aba1556eb88,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Roberto,,x,,No,There is no observable interference; because left did a refactoring; and right created a new instance to JmxReporter class; using differents statements.,[71],[65; 67; 68; 69],Left did a refactoring; an extract method; created a method that returns the 'metricRegistry' attribute.,Created an instance of the JmxReporter.Builder class and passed 'metricRegistry' as a parameter.,TRUE,FALSE POSITIVE,TRUE NEGATIVE,TRUE NEGATIVE,FALSE POSITIVE,TRUE NEGATIVE
33,jenkins,jenkins.slaves.DefaultJnlpSlaveReceiver,handle(String; JnlpSlaveHandshake),48b2b951dfb3438999ceda330093cac82b857ce6,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Roberto,,x,,Yes,There is observable interference; a test would be to check if ch! = null and !c.equals (ch.getProperty (COOKIE_NAME)); in left will return true and right; will return false.,[52],[52; 56; 57],Left changed the return of a condition from false to true.,Right added an IF; checking if !MatchesSecret (nodeName; handshake) is true; changing the error message of the handshake attribute and error method; then returning true.,TRUE,TRUE POSITIVE,TRUE POSITIVE,TRUE POSITIVE,FALSE NEGATIVE,TRUE POSITIVE
34,logback,ch.qos.logback.core.rolling.TimeBasedFileNamingAndTriggeringPolicyBase,start(),542843fd04a793fb9e0eea0c84d199e66d7c15af,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Roberto,,x,,Yes,There is observable interference; both changes were in differents state elements; but right created a condition where it can create two objects in different ways. A test would be to pass the dtc.getTimeZone () parameter as not null and then compare the rc object created in left and right; which would be different.,[45],[52; 53; 54; 55; 56],Extracted a variable from constructor DateTokenConverter creating a Object object (Refactor) called dtc.,Created a condition with the dtc object; checking if getTimeZone is different from null and returning an instance of the RollingCalendar object.,TRUE,TRUE POSITIVE,TRUE POSITIVE,FALSE NEGATIVE,TRUE POSITIVE,TRUE POSITIVE
35,orientdb,com.orientechnologies.orient.core.Orient,startup(),a5ce3bcc0a1d196745c575ad6602019f7a6b86f8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,,x,,No,There is no locally observable interference as the Right just changes the location of a field instatiation.,[191],[158],Left removes an IF statement and a method call on profiler field; and changes the location of an assignment for field active.,Right change the location of the profiler field instatiation.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
36,SimianArmy,com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext,getInstanceJanitor(),345ad9513aafff397050d613fa87ad06ddffe99d,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Roberto,x,x,,No,There is no locally observable interference as Left just updates the rule already added in base commit; while Right adds a new one.,[227; 228; 229; 230],[232; 233; 234; 235; 237; 238],Left updates the rule added in ruleEngine by method addRule().,Right adds a new if statement; which may also add a new rule in ruleEngine.,TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,TRUE NEGATIVE
37,SimianArmy,com.netflix.simianarmy.basic.BasicSimianArmyContext,BasicSimianArmyContext(String),c39c19bc6b9231601f6bc7358e638a99adf37e0d,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,,x,,No,There is no locally observable interference as the Right changes still write on LOGGER; without any impact on Right changes.,[128; 129; 130; 131; 115; 132; 133; 134; 135; 141; 126; 127],[112; 113; 114; 115; 110; 111],Left adds five new five fields on the class and their instantiations.,Right changes the contents that are written on the field LOGGER.,TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
38,alluxio,tachyon.hadoop.HdfsFileInputStream,HdfsFileInputStream(TachyonFS; int; Path; Configuration; int),dafe76c90024a915224264b4862b33f40cb8478c,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,,x,,No,There is no locally observable interference; because was used different state elements. Right add any parameter in LOG attribute and left a refactoring: renaming variables.,[44; 45],[52; 53; 56; 58],Changed the parameters of the debug method of the LOG attribute.,Renamed the variable mTachyonFile and changed it from local variable to class attribute.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
39,voldemort,voldemort.VoldemortClientShell,VoldemortClientShell(ClientConfig; String; BufferedReader; PrintStream; PrintStream),b30fdfebe30c9b6e37b9fbc3fec0ff74cd19f997,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Roberto,,x,,Yes,Although left changes the object used by right changes; they don't interfere with each other; because the fields changed by left are not used by the methods called by right,[123],[128; 127],Left changed the parameters for the constructor of the adminClient object; inserting the reference passed by parameter instead of a new object.,Right created a local variable called 'cluster' that access the 'adminClient' attribute and assigned a 'RoutingStrategyFactory' object to routingStrategy; passing the created variable.,TRUE,TRUE POSITIVE,TRUE POSITIVE,TRUE POSITIVE,TRUE POSITIVE,FALSE NEGATIVE
